Fecha;Densidad AUS;Hombres AUS;Mujeres AUS;Poblacion AUS;Densidad USA;Hombres USA;Mujeres USA;Poblacion USA;Densidad SAF;Hombres SAF;Mujeres SAF;Poblacion SAF
2018;3;12.441.473;12.541.215;25.169.000;33;161.644.928;165.042.573;327.352.000;48;28.488.734;29.290.888;57.939.000
2017;3;12.252.228;12.349.632;24.775.000;33;160.791.853;164.193.686;325.326.000;47;28.116.850;28.883.601;57.098.000
2016;3;12.049.619;12.141.288;24.390.000;33;159.761.286;163.180.025;323.127.513;46;27.733.742;28.469.912;56.252.000
2015;3;11.867.302;11.948.693;23.985.000;33;158.591.855;162.043.308;320.896.618;45;27.337.003;28.049.364;55.407.000
2014;3;11.705.167;11.770.519;23.640.000;32;157.397.705;160.903.303;318.563.456;45;26.924.942;27.621.049;54.574.000
2013;3;11.541.758;11.586.371;23.298.000;32;156.207.397;159.786.318;316.204.908;44;26.501.359;27.187.877;53.751.000
2012;3;11.355.294;11.378.171;22.928.000;32;155.084.590;158.746.400;313.998.379;43;26.076.059;26.757.946;52.930.000
2011;3;11.167.269;11.172.755;22.522.000;32;153.910.331;157.646.543;311.663.358;43;25.662.236;26.341.936;52.129.000
2010;3;11.017.892;11.013.858;22.172.000;31;152.764.106;156.557.560;309.348.193;42;25.269.500;25.947.464;51.329.000
2009;3;10.847.891;10.843.809;21.866.000;31;151.473.510;155.298.019;306.771.529;41;24.900.458;25.576.553;50.545.000
2008;3;10.622.626;10.626.574;21.476.000;31;150.129.032;153.964.934;304.093.966;41;24.552.622;25.226.849;49.795.000
2007;3;10.405.448;10.422.152;21.016.000;31;148.697.409;152.533.798;301.231.207;40;24.223.887;24.895.872;49.089.000
2006;3;10.334.118;10.363.782;20.628.000;31;147.268.698;151.111.214;298.379.912;40;23.910.122;24.579.337;48.446.000
2005;3;10.177.992;10.216.808;20.312.000;31;145.826.206;149.690.393;295.516.599;39;23.607.462;24.273.139;47.860.000
2004;3;10.042.276;10.085.124;20.046.000;30;144.449.661;148.355.637;292.805.298;39;23.315.480;23.976.130;47.310.000
2003;3;9.926.226;9.969.174;19.827.000;30;143.072.568;147.035.365;290.107.933;38;23.032.766;23.686.430;46.806.000
2002;3;9.805.087;9.846.313;19.605.000;30;141.795.060;145.830.133;287.625.193;38;22.752.951;23.397.962;46.355.000
2001;3;9.685.959;9.727.041;19.386.000;30;140.427.831;144.541.124;284.968.955;38;22.468.021;23.103.253;45.724.000
2000;2;9.554.138;9.598.862;19.141.000;29;138.983.981;143.178.430;282.162.411;37;22.171.604;22.796.104;44.900.000
1999;2;9.436.429;9.489.571;18.919.000;29;137.383.155;141.656.845;279.040.168;36;21.862.380;22.476.163;44.230.000
1998;2;9.323.022;9.387.978;18.706.000;29;135.749.655;140.104.345;275.854.104;36;21.539.952;22.142.308;43.580.000
1997;2;9.219.689;9.297.311;18.510.000;28;134.108.786;138.548.214;272.646.925;35;21.200.409;21.787.052;42.920.000
1996;2;9.111.834;9.199.166;18.330.000;28;132.432.633;136.961.367;269.394.284;35;20.839.577;21.401.434;42.210.000
1995;2;8.990.295;9.081.705;18.120.000;28;130.826.150;135.451.850;266.278.393;34;20.455.346;20.980.412;41.430.000
1994;2;8.882.883;8.972.117;17.893.000;27;129.197.874;133.928.126;263.125.821;33;20.044.657;20.519.402;40.560.000
1993;2;8.792.533;8.874.467;17.719.000;27;127.540.992;132.378.008;259.918.588;32;19.610.218;20.023.532;39.620.000
1992;2;8.711.806;8.783.194;17.557.000;27;125.794.343;130.719.657;256.514.224;32;19.162.963;19.509.644;38.650.000
1991;2;8.611.895;8.672.105;17.379.000;26;124.003.925;128.977.075;252.980.941;31;18.717.917;19.001.033;37.690.000
1990;2;8.507.178;8.557.922;17.170.000;26;122.325.569;127.297.431;249.622.814;30;18.285.908;18.514.601;36.790.000
1989;2;8.385.577;8.428.823;16.937.000;26;120.949.735;125.869.265;246.819.222;30;17.872.449;18.057.601;35.970.000
1988;2;8.247.505;8.284.695;16.687.000;25;119.837.998;124.661.002;244.499.004;29;17.474.804;17.626.105;35.200.000
1987;2;8.115.539;8.148.361;16.395.000;25;118.794.437;123.494.563;242.288.936;28;17.085.558;17.212.169;34.460.000
1986;2;7.994.150;8.024.250;16.139.000;25;117.773.586;122.359.414;240.132.831;28;16.693.181;16.802.772;33.730.000
1985;2;7.864.596;7.893.404;15.901.000;25;116.710.474;121.213.526;237.923.734;27;16.290.022;16.388.852;32.980.000
1984;2;7.757.240;7.786.760;15.677.000;24;115.679.075;120.145.925;235.824.907;26;15.873.317;15.968.276;32.210.000
1983;2;7.668.484;7.700.516;15.484.000;24;114.662.901;119.129.099;233.792.014;26;15.447.944;15.545.814;31.410.000
1982;2;7.571.747;7.606.253;15.289.000;24;113.594.864;118.069.136;231.664.432;25;15.023.014;15.127.434;30.610.000
1981;2;7.446.239;7.480.761;15.039.000;24;112.504.755;116.961.245;229.465.744;24;14.611.322;14.721.781;29.830.000
1980;2;7.330.662;7.361.338;14.802.000;24;111.417.847;115.807.153;227.224.719;24;14.221.868;14.334.901;29.080.000
1979;2;7.245.826;7.268.174;14.514.000;23;110.394.933;114.660.067;224.568.579;23;13.858.332;13.968.988;27.827.320
1978;2;7.173.917;7.184.083;14.358.000;23;109.248.279;113.336.721;222.098.244;22;13.517.440;13.621.525;27.138.965
1977;2;7.098.112;7.093.888;14.192.000;23;108.174.523;112.064.477;219.760.875;22;13.192.748;13.288.165;26.480.913
1976;2;7.025.718;7.007.282;14.033.000;23;107.166.230;110.868.770;217.553.859;21;12.874.486;12.962.402;25.836.888
1975;2;6.961.880;6.931.120;13.893.000;22;106.212.123;109.760.877;215.456.585;21;12.555.654;12.639.533;25.195.187
1974;2;6.881.822;6.841.178;13.723.000;22;105.209.403;108.644.597;213.333.635;20;12.234.403;12.318.137;24.552.540
1973;2;6.713.994;6.666.006;13.380.000;22;104.276.325;107.632.675;211.349.205;20;11.913.332;11.999.767;23.913.099
1972;2;6.615.524;6.561.476;13.177.000;22;103.303.479;106.592.521;209.274.882;19;11.595.248;11.686.260;23.281.508
1971;2;6.497.909;6.439.091;12.937.000;21;102.229.271;105.431.729;206.817.509;19;11.284.640;11.380.631;22.665.271
1970;2;6.284.474;6.222.526;12.507.000;21;100.988.387;104.063.613;203.798.722;18;10.984.783;11.084.993;22.069.776
1969;2;6.164.079;6.098.921;12.263.000;21;99.883.728;102.793.272;201.298.000;18;10.696.290;10.799.785;21.496.075
1968;2;6.038.237;5.970.763;12.009.000;21;98.994.322;101.711.678;199.312.000;17;10.418.101;10.524.044;20.942.145
1967;2;5.934.372;5.864.628;11.799.000;20;98.100.687;100.611.313;197.375.000;17;10.149.952;10.256.912;20.406.864
1966;2;5.861.886;5.789.114;11.651.000;20;97.122.939;99.437.061;195.499.000;16;9.891.206;9.997.044;19.888.250
1965;1;5.731.969;5.656.031;11.388.000;20;96.077.912;98.225.088;193.460.000;16;9.641.348;9.743.493;19.384.841
1964;1;5.623.653;5.543.347;11.167.000;20;94.937.051;96.951.949;191.085.000;16;9.400.375;9.495.932;18.896.307
1963;1;5.517.705;5.432.295;10.950.000;20;93.666.285;95.575.715;188.434.000;15;9.168.473;9.254.688;18.423.161
1962;1;5.416.438;5.325.562;10.742.000;19;92.357.695;94.180.305;185.739.000;15;8.945.521;9.020.204;17.965.725
1961;1;5.289.298;5.193.702;10.483.000;19;90.976.431;92.714.569;182.976.000;14;8.731.345;8.793.188;17.524.533
1960;;5.188.257;5.088.220;10.276.477;0;89.513.346;91.157.654;179.972.000;0;8.525.732;8.574.108;17.099.840
